second,Volt,Volt.1
-0.00325865,-5.125628244,4.153266415
-0.00325365,-5.185929753,4.221105613
-0.00324865,-5.185929753,4.221105613
-0.00324365,-5.185929753,4.221105613
-0.00323865,-5.118090556,4.153266415
-0.00323365,-5.185929753,4.334170942
-0.00322865,-5.185929753,4.34170863
-0.00322365,-5.185929753,4.221105613
-0.00321865,-5.30653277,4.34170863
-0.00321365,-5.178392064,4.34170863
-0.00320865,-5.185929753,4.39447245
-0.00320365,-5.065326735,4.462311648
-0.00319865,-5.125628244,4.515075468
-0.00319365,-5.072864424,4.469849336
-0.00318865,-5.185929753,4.462311648
-0.00318365,-5.065326735,4.582914665
-0.00317865,-5.185929753,4.582914665
-0.00317365,-5.065326735,4.582914665
-0.00316865,-5.118090556,4.515075468
-0.00316365,-5.065326735,4.695979994
-0.00315865,-5.185929753,4.763819192
-0.00315365,-5.185929753,4.703517683
-0.00314865,-5.185929753,4.703517683
-0.00314365,-5.065326735,4.703517683
-0.00313865,-5.170854376,4.8241207
-0.00313365,-5.298995082,4.8241207
-0.00312865,-5.118090556,4.944723718
-0.00312365,-5.185929753,4.944723718
-0.00311865,-5.185929753,4.876884521
-0.00311365,-5.178392064,4.8241207
-0.00310865,-5.125628244,4.944723718
-0.00310365,-5.185929753,4.944723718
-0.00309865,-5.185929753,4.952261406
-0.00309365,-5.065326735,4.944723718
-0.00308865,-5.065326735,5.118090556
-0.00308365,4.8241207,4.944723718
-0.00307865,4.8241207,4.944723718
-0.00307365,4.937186029,4.944723718
-0.00306865,4.756281503,5.005025227
-0.00306365,4.8241207,4.8241207
-0.00305865,4.944723718,4.952261406
-0.00305365,4.937186029,4.8241207
-0.00304865,4.8241207,4.8241207
-0.00304365,4.8241207,4.8241207
-0.00303865,4.876884521,4.703517683
-0.00303365,4.937186029,4.8241207
-0.00302865,4.876884521,4.688442306
-0.00302365,4.8241207,4.703517683
-0.00301865,4.8241207,4.643216174
-0.00301365,4.8241207,4.695979994
-0.00300865,4.8241207,4.582914665
-0.00300365,4.711055371,4.462311648
-0.00299865,4.876884521,4.522613157
-0.00299365,4.8241207,4.34170863
-0.00298865,4.8241207,4.402010139
-0.00298365,4.937186029,4.34170863
-0.00297865,4.8241207,4.326633253
-0.00297365,4.8241207,4.34170863
-0.00296865,4.884422209,4.281407122
-0.00296365,4.937186029,4.221105613
-0.00295865,5.005025227,4.402010139
-0.00295365,4.8241207,4.221105613
-0.00294865,4.876884521,4.206030236
-0.00294365,4.831658389,4.100502595
-0.00293865,4.876884521,4.153266415
-0.00293365,4.8241207,4.100502595
-0.00292865,4.8241207,3.987437266
-0.00292365,4.8241207,4.085427218
-0.00291865,4.809045323,4.221105613
-0.00291365,4.711055371,3.85929656
-0.00290865,4.884422209,3.919598069
-0.00290365,4.944723718,3.85929656
-0.00289865,4.8241207,3.919598069
-0.00289365,4.944723718,3.85929656
-0.00288865,4.884422209,3.919598069
-0.00288365,4.8241207,3.738693543
-0.00287865,4.944723718,3.738693543
-0.00287365,4.937186029,3.851758872
-0.00286865,4.688442306,3.618090525
-0.00286365,4.8241207,3.851758872
-0.00285865,4.831658389,3.738693543
-0.00285365,4.937186029,3.618090525
-0.00284865,4.763819192,3.678392034
-0.00284365,4.937186029,3.610552837
-0.00283865,4.763819192,3.557789017
-0.00283365,4.8241207,3.618090525
-0.00282865,4.8241207,3.482412131
-0.00282365,4.703517683,3.489949819
-0.00281865,4.876884521,3.42964831
-0.00281365,4.944723718,3.256281473
-0.00280865,4.876884521,3.37688449
-0.00280365,4.816583012,3.37688449
-0.00279865,4.8241207,3.203517653
-0.00279365,4.944723718,3.256281473
-0.00278865,4.809045323,3.316582981
-0.00278365,4.703517683,3.256281473
-0.00277865,4.952261406,3.195979964
-0.00277365,4.937186029,3.135678455
-0.00276865,4.8241207,3.067839258
-0.00276365,4.8241207,3.135678455
-0.00275865,4.876884521,3.015075438
-0.00275365,4.8241207,3.128140767
-0.00274865,4.944723718,3.067839258
-0.00274365,4.8241207,3.007537749
-0.00273865,4.884422209,2.954773929
-0.00273365,4.8241207,3.015075438
-0.00272865,4.944723718,2.954773929
-0.00272365,4.8241207,2.773869403
-0.00271865,4.884422209,2.826633223
-0.00271365,4.8241207,2.89447242
-0.00270865,4.884422209,2.706030205
-0.00270365,4.937186029,2.773869403
-0.00269865,4.876884521,2.773869403
-0.00269365,4.937186029,2.653266385
-0.00268865,4.884422209,2.653266385
-0.00268365,4.8241207,2.653266385
-0.00267865,4.8241207,2.592964876
-0.00267365,4.8241207,2.645728697
-0.00266865,4.763819192,2.585427188
-0.00266365,4.8241207,2.638191008
-0.00265865,4.876884521,2.46482417
-0.00265365,4.937186029,2.525125679
-0.00264865,4.8241207,2.344221153
-0.00264365,4.8241207,2.41206035
-0.00263865,4.8241207,2.291457333
-0.00263365,4.711055371,2.291457333
-0.00262865,4.8241207,2.351758841
-0.00262365,4.711055371,2.291457333
-0.00261865,4.876884521,2.344221153
-0.00261365,4.937186029,2.057788986
-0.00260865,4.876884521,2.231155824
-0.00260365,4.8241207,1.937185969
-0.00259865,4.8241207,2.223618135
-0.00259365,4.831658389,2.170854315
-0.00258865,4.8241207,2.103015118
-0.00258365,4.937186029,2.050251298
-0.00257865,4.8241207,1.989949789
-0.00257365,4.937186029,2.050251298
-0.00256865,4.8241207,1.9824121
-0.00256365,4.937186029,1.92964828
-0.00255865,4.8241207,1.914572903
-0.00255365,4.929648341,1.92964828
